#{"t_start": 1617611168.7877684, "env_id": null}
r,l,t
-0.785714,10,207.80161
1.214286,10,208.083752
-0.761905,11,208.415704
1.190476,9,208.641848
-0.809524,9,208.920672
-0.904762,5,209.064696
-0.904762,5,209.235753
1.142857,7,209.408882
-0.833333,8,209.668319
-0.809524,9,209.913244
-0.785714,10,210.227813
-0.761905,11,210.558635
-0.904762,5,210.69843
-0.809524,9,210.977547
-0.785714,10,211.282124
1.190476,9,211.50704
1.214286,10,211.791294
1.142857,7,211.991122
-0.833333,8,212.209367
-0.904762,5,212.379291
-0.857143,7,212.576998
1.238095,11,212.886113
-0.761905,11,213.216252
1.190476,9,213.428014
-0.785714,10,213.7493
1.190476,9,214.0165
1.119048,6,214.165733
-0.809524,9,214.459083
1.214286,10,214.69377
1.142857,7,214.88768
-0.809524,9,215.152876
-0.809524,9,215.393058
1.214286,10,215.680574
-0.809524,9,215.96358
1.119048,6,216.093791
1.214286,10,216.361364
-0.857143,7,216.545431
1.214286,10,216.826098
1.238095,11,217.132157
-0.761905,11,217.438489
-0.761905,11,217.719948
-0.809524,9,218.001809
1.071429,4,218.082049
-0.809524,9,218.345315
-0.833333,8,218.589271
1.142857,7,218.749605
-9.690476,14,219.132382
-0.809524,9,219.435505
1.166667,8,219.658152
-0.928571,4,219.821517
-0.833333,8,220.056041
-0.809524,9,220.342116
-0.738095,12,220.713286
-0.833333,8,220.931681
-0.857143,7,221.162302
1.071429,4,221.252404
-0.809524,9,221.538919
-0.833333,8,221.795617
1.190476,9,222.042934
1.285714,13,222.430857
1.190476,9,222.713627
-0.880952,6,222.874584
-0.809524,9,223.140568
1.166667,8,223.358502
-0.833333,8,223.628985
-0.785714,10,223.933045
-0.785714,10,224.22155
-0.857143,7,224.398225
-0.904762,5,224.53916
1.142857,7,224.740542
1.166667,8,224.93467
-0.738095,12,225.292807
1.142857,7,225.500377
1.190476,9,225.73255
1.095238,5,225.880704
1.142857,7,226.054085
1.261905,12,226.382579
1.214286,10,226.674512
-0.857143,7,226.863411
1.095238,5,227.013302
-0.833333,8,227.235747
-0.785714,10,227.547116
-0.833333,8,227.799224
-0.785714,10,228.076348
1.166667,8,228.308606
-0.857143,7,228.505144
-0.785714,10,228.816407
-0.809524,9,229.093653
-0.785714,10,229.395629
-0.761905,11,229.718562
-0.809524,9,229.964096
-0.928571,4,230.076019
-0.880952,6,230.268842
-0.809524,9,230.541206
-0.833333,8,230.781473
-0.857143,7,231.001894
-0.880952,6,231.155372
1.095238,5,231.272613
1.190476,9,231.545965
-0.833333,8,231.804258
1.095238,5,231.921587
-0.761905,11,232.246249
-0.809524,9,232.476169
1.190476,9,232.717259
1.190476,9,232.966684
-0.809524,9,233.201889
-0.785714,10,233.495405
1.190476,9,233.768765
1.166667,8,233.965999
-0.785714,10,234.273814
1.119048,6,234.414902
1.166667,8,234.64827
-0.857143,7,234.840175
-0.785714,10,235.166005
1.214286,10,235.458044
-0.833333,8,235.682232
-0.809524,9,235.946008
-0.785714,10,236.24206
1.166667,8,236.441905
-0.809524,9,236.727524
-0.833333,8,236.9842
-0.809524,9,237.234731
-0.857143,7,237.494189
1.214286,10,237.766773
-0.761905,11,238.056682
-0.857143,7,238.297429
1.142857,7,238.486175
1.190476,9,238.741477
-0.833333,8,239.003328
-0.809524,9,239.279752
-0.785714,10,239.59093
-0.809524,9,239.855389
-0.833333,8,240.057511
-0.785714,10,240.375701
-0.904762,5,240.555703
-0.857143,7,240.738998
-0.857143,7,240.966191
1.119048,6,241.11348
-0.904762,5,241.240415
-0.833333,8,241.499522
1.119048,6,241.660289
1.142857,7,241.879716
1.119048,6,242.039307
-0.785714,10,242.347973
1.261905,12,242.7064
-0.904762,5,242.851453
-0.833333,8,243.114658
-0.880952,6,243.292269
-0.809524,9,243.590093
-0.880952,6,243.767584
-0.809524,9,244.060087
-0.785714,10,244.381743
-0.785714,10,244.707996
1.238095,11,245.001004
1.071429,4,245.092539
-0.857143,7,245.328344
1.142857,7,245.503858
-0.928571,4,245.645556
1.190476,9,245.860262
1.190476,9,246.109592
-9.857143,7,246.275418
-0.833333,8,246.528474
1.119048,6,246.658843
-0.857143,7,246.872101
1.166667,8,247.049411
-0.833333,8,247.288961
-0.857143,7,247.508903
-0.857143,7,247.693572
1.166667,8,247.92315
1.238095,11,248.200027
1.190476,9,248.455878
-0.857143,7,248.647759
-0.880952,6,248.851975
-0.833333,8,249.064652
-0.904762,5,249.244438
-0.904762,5,249.405129
1.190476,9,249.672139
1.142857,7,249.826449
1.142857,7,250.016328
-0.857143,7,250.196674
1.166667,8,250.418049
-0.833333,8,250.637623
1.166667,8,250.873674
-0.857143,7,251.104687
-0.880952,6,251.275914
-0.857143,7,253.666295
1.166667,8,253.90503
1.190476,9,254.143351
1.214286,10,254.373389
1.142857,7,254.56662
-0.809524,9,254.794406
1.166667,8,255.007607
1.119048,6,255.139371
1.166667,8,255.349276
1.095238,5,255.458216
-0.809524,9,255.740183
1.142857,7,255.902624
1.190476,9,256.149034
-0.761905,11,256.480418
1.166667,8,256.672918
-0.809524,9,256.975685
1.119048,6,257.1299
-0.857143,7,257.343842
1.142857,7,257.513746
-0.738095,12,257.855844
1.166667,8,258.074621
-0.809524,9,258.316628
-0.833333,8,258.578022
1.071429,4,258.658596
-0.833333,8,258.894329
-0.833333,8,259.129556
